Category,comment/name,DOI,units,temperature,cation1,cation1_conc,cation2,cation2_conc,cation3,cation3_conc,cation4,cation4_conc,cation5,cation5_conc,cation6,cation6_conc,cation7,cation7_conc,cation8,cation8_conc,anion1,anion1_conc,anion2,anion2_conc,anion3,anion3_conc,anion4,anion4_conc,anion5,anion5_conc,anion6,anion6_conc,anion7,anion7_conc,anion8,anion8_conc,solvent1,solvent1_ratio,solvent2,solvent2_ratio,solvent3,solvent3_ratio,solvent4,solvent4_ratio,solvent5,solvent5_ratio,solvent6,solvent6_ratio,solvent7,solvent7_ratio,solvent8,solvent8_ratio,category
,PC,10.1038/s41557-018-0019-6,volume,300.0,Mg+2,0.5,,,,,,,,,,,,,,,C2F6NO4S2-,1.0,,,,,,,,,,,,,,,C4H6O3,1.0,,,,,,,,,,,,,,,
,PC-hightemp,10.1038/s41557-018-0019-6,volume,450.0,Mg+2,0.5,,,,,,,,,,,,,,,C2F6NO4S2-,1.0,,,,,,,,,,,,,,,C4H6O3,1.0,,,,,,,,,,,,,,,
,Amine,10.1126/science.abg3954,volume,300.0,Mg+2,0.5,,,,,,,,,,,,,,,C2F6NO4S2-,1.0,,,,,,,,,,,,,,,C6H14O3,3.0,C4H11NO,1.0,,,,,,,,,,,,,
,Amine-hightemp,10.1126/science.abg3954,volume,400.0,Mg+2,0.5,,,,,,,,,,,,,,,C2F6NO4S2-,1.0,,,,,,,,,,,,,,,C6H14O3,3.0,C4H11NO,1.0,,,,,,,,,,,,,
,Aqueous1,10.1021/acscentsci.7b00361,mass,300.0,Mg+2,5.0,,,,,,,,,,,,,,,C2F6NO4S2-,10.0,,,,,,,,,,,,,,,H2O,1.0,,,,,,,,,,,,,,,
,Aqueous1-hightemp,10.1021/acscentsci.7b00361,mass,350.0,Mg+2,5.0,,,,,,,,,,,,,,,C2F6NO4S2-,10.0,,,,,,,,,,,,,,,H2O,1.0,,,,,,,,,,,,,,,
,Aqueous2,10.1021/acsenergylett.7b00040,volume,300.0,Mg+2,1.0,,,,,,,,,,,,,,,O4S-2,1.0,,,,,,,,,,,,,,,H2O,1.0,,,,,,,,,,,,,,,
,Aqueous2-hightemp,10.1021/acsenergylett.7b00040,volume,350.0,Mg+2,1.0,,,,,,,,,,,,,,,O4S-2,1.0,,,,,,,,,,,,,,,H2O,1.0,,,,,,,,,,,,,,,
,Aqueous-mixed,10.1021/acsenergylett.8b01105,volume,300.0,Mg+2,0.5,Mn+2,0.1,Zn+2,0.5,,,,,,,,,,,O4S-2,1.1,,,,,,,,,,,,,,,H2O,1.0,,,,,,,,,,,,,,,
,Aqueous-mixed-hightemp,10.1021/acsenergylett.8b01105,volume,350.0,Mg+2,0.5,Mn+2,0.1,Zn+2,0.5,,,,,,,,,,,O4S-2,1.1,,,,,,,,,,,,,,,H2O,1.0,,,,,,,,,,,,,,,
